DS_name,Variables.Selected.by.glmnet,Structural_Variables,Variables.Not.Selected.by.glmnet,Nonstructural_Variables
0.75-15-1-12,"X1, X3, X4, X6, X7, X8, X9, X10, X12, X13, X14, X16, X17, X18, X19, X20, X21, X22, X23, X24, X26, X29, X30","X3, X6, X8, X9, X12, X13, X16, X19, X20, X21, X23, X24, X26, X29, X30","X2, X5, X11, X15, X25, X27, X28","X1, X2, X4, X5, X7, X10, X11, X14, X15, X17, X18, X22, X25, X27, X28"
0.75-15-1-13,"X1, X2, X3, X4, X5, X6, X8, X11, X12, X13, X14, X15, X16, X17, X18, X20, X21, X22, X23, X24, X25, X26, X30","X1, X2, X3, X4, X6, X8, X13, X15, X17, X18, X20, X21, X23, X24, X26","X7, X9, X10, X19, X27, X28, X29","X5, X7, X9, X10, X11, X12, X14, X16, X19, X22, X25, X27, X28, X29, X30"
0.75-15-1-14,"X1, X2, X3, X4, X6, X7, X8, X9, X10, X11, X12, X13, X14, X23, X24, X25, X27, X29, X30","X1, X3, X4, X7, X8, X10, X11, X12, X13, X14, X23, X24, X25, X27, X30","X5, X15, X16, X17, X18, X19, X20, X21, X22, X26, X28","X2, X5, X6, X9, X15, X16, X17, X18, X19, X20, X21, X22, X26, X28, X29"
0.75-15-1-15,"X1, X2, X3, X4, X6, X7, X8, X9, X10, X11, X12, X13, X15, X16, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X30","X2, X6, X9, X12, X13, X15, X19, X20, X21, X22, X23, X24, X25, X26, X27","X5, X14, X17, X28, X29","X1, X3, X4, X5, X7, X8, X10, X11, X14, X16, X17, X18, X28, X29, X30"
0.75-15-1-16,"X1, X2, X3, X4, X6, X7, X9, X10, X11, X12, X14, X15, X16, X17, X18, X19, X20, X23, X25, X26, X29, X30","X1, X3, X4, X9, X11, X12, X14, X15, X17, X19, X20, X23, X26, X29, X30","X5, X8, X13, X21, X22, X24, X27, X28","X2, X5, X6, X7, X8, X10, X13, X16, X18, X21, X22, X24, X25, X27, X28"
0.75-15-1-17,"X4, X5, X6, X7, X8, X9, X10, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X21, X22, X24, X26, X29, X30","X4, X5, X7, X8, X9, X11, X12, X13, X15, X16, X18, X19, X20, X24, X29","X1, X2, X3, X23, X25, X27, X28","X1, X2, X3, X6, X10, X14, X17, X21, X22, X23, X25, X26, X27, X28, X30"
0.75-15-1-18,"X1, X2, X3, X4, X7, X8, X11, X12, X13, X14, X15, X16, X17, X18, X21, X23, X24, X26, X27, X28, X29, X30","X1, X2, X3, X7, X8, X11, X13, X14, X15, X16, X21, X23, X26, X27, X30","X5, X6, X9, X10, X19, X20, X22, X25","X4, X5, X6, X9, X10, X12, X17, X18, X19, X20, X22, X24, X25, X28, X29"
0.75-15-1-19,"X1, X2, X4, X5, X6, X8, X11, X16, X18, X19, X20, X21, X22, X23, X24, X25, X26, X28, X29, X30","X1, X2, X5, X6, X8, X11, X16, X18, X19, X20, X21, X22, X24, X26, X28","X3, X7, X9, X10, X12, X13, X14, X15, X17, X27","X3, X4, X7, X9, X10, X12, X13, X14, X15, X17, X23, X25, X27, X29, X30"
0.75-15-1-20,"X1, X2, X4, X5, X7, X9, X11, X12, X14, X15, X16, X21, X22, X25, X27, X28, X29, X30","X1, X2, X4, X5, X7, X9, X12, X14, X15, X16, X21, X25, X28, X29, X30","X3, X6, X8, X10, X13, X17, X18, X19, X20, X23, X24, X26","X3, X6, X8, X10, X11, X13, X17, X18, X19, X20, X22, X23, X24, X26, X27"
0.75-15-1-21,"X1, X2, X4, X6, X7, X8, X9, X11, X13, X16, X17, X18, X19, X20, X21, X22, X26, X27, X28, X29, X30","X1, X2, X8, X9, X11, X13, X16, X17, X18, X19, X20, X21, X22, X27, X29","X3, X5, X10, X12, X14, X15, X23, X24, X25","X3, X4, X5, X6, X7, X10, X12, X14, X15, X23, X24, X25, X26, X28, X30"
0.75-15-1-22,"X3, X4, X6, X7, X8, X9, X12, X13, X15, X16, X17, X18, X19, X20, X23, X24, X25, X26, X27, X28, X29, X30","X3, X6, X7, X8, X12, X13, X16, X18, X19, X23, X25, X26, X27, X28, X29","X1, X2, X5, X10, X11, X14, X21, X22","X1, X2, X4, X5, X9, X10, X11, X14, X15, X17, X20, X21, X22, X24, X30"
0.75-15-1-23,"X4, X5, X7, X8, X9, X10, X11, X13, X15, X16, X17, X18, X21, X22, X23, X24, X25, X26, X30","X5, X8, X9, X10, X11, X13, X16, X17, X18, X21, X22, X23, X24, X25, X30","X1, X2, X3, X6, X12, X14, X19, X20, X27, X28, X29","X1, X2, X3, X4, X6, X7, X12, X14, X15, X19, X20, X26, X27, X28, X29"
0.75-15-1-24,"X1, X2, X3, X4, X5, X6, X7, X11, X16, X17, X18, X19, X20, X21, X27, X28, X29, X30","X1, X2, X3, X5, X6, X7, X11, X16, X18, X19, X20, X21, X27, X28, X29","X8, X9, X10, X12, X13, X14, X15, X22, X23, X24, X25, X26","X4, X8, X9, X10, X12, X13, X14, X15, X17, X22, X23, X24, X25, X26, X30"
0.75-15-1-25,"X2, X4, X5, X7, X8, X9, X10, X11, X12, X14, X16, X17, X18, X19, X23, X24, X26, X27, X28, X29, X30","X2, X7, X8, X10, X12, X14, X16, X17, X18, X23, X26, X27, X28, X29, X30","X1, X3, X6, X13, X15, X20, X21, X22, X25","X1, X3, X4, X5, X6, X9, X11, X13, X15, X19, X20, X21, X22, X24, X25"
0.75-15-1-26,"X4, X5, X6, X7, X8, X9, X11, X12, X13, X14, X15, X16, X17, X19, X20, X21, X22, X24, X26, X29, X30","X4, X6, X8, X9, X11, X12, X13, X14, X15, X16, X20, X21, X22, X26, X29","X1, X2, X3, X10, X18, X23, X25, X27, X28","X1, X2, X3, X5, X7, X10, X17, X18, X19, X23, X24, X25, X27, X28, X30"
0.75-15-1-27,"X1, X2, X3, X4, X5, X6, X7, X11, X12, X13, X14, X15, X16, X19, X20, X21, X22, X23, X24, X26, X27, X28, X29, X30","X1, X2, X4, X11, X14, X16, X19, X21, X22, X23, X24, X26, X27, X29, X30","X8, X9, X10, X17, X18, X25","X3, X5, X6, X7, X8, X9, X10, X12, X13, X15, X17, X18, X20, X25, X28"
0.75-15-1-28,"X1, X4, X5, X6, X8, X9, X10, X11, X13, X14, X15, X17, X18, X19, X20, X21, X25, X26, X27, X28, X29, X30","X1, X4, X6, X8, X10, X11, X13, X14, X18, X20, X21, X27, X28, X29, X30","X2, X3, X7, X12, X16, X22, X23, X24","X2, X3, X5, X7, X9, X12, X15, X16, X17, X19, X22, X23, X24, X25, X26"
0.75-15-1-29,"X1, X2, X3, X4, X5, X6, X7, X8, X10, X11, X12, X13, X14, X15, X17, X20, X21, X24, X27, X28, X29, X30","X1, X2, X3, X4, X6, X8, X10, X13, X14, X15, X20, X21, X24, X29, X30","X9, X16, X18, X19, X22, X23, X25, X26","X5, X7, X9, X11, X12, X16, X17, X18, X19, X22, X23, X25, X26, X27, X28"
0.75-15-1-30,"X1, X2, X3, X4, X5, X6, X7, X8, X10, X11, X12, X13, X15, X16, X21, X22, X23, X24, X25, X27, X29, X30","X2, X4, X5, X8, X10, X11, X12, X13, X15, X22, X23, X24, X25, X27, X29","X9, X14, X17, X18, X19, X20, X26, X28","X1, X3, X6, X7, X9, X14, X16, X17, X18, X19, X20, X21, X26, X28, X30"
0.75-15-1-31,"X2, X4, X6, X7, X8, X9, X10, X11, X12, X13, X14, X15, X16, X18, X20, X22, X23, X24, X25, X27, X30","X4, X7, X9, X10, X11, X12, X14, X15, X16, X18, X20, X22, X23, X24, X30","X1, X3, X5, X17, X19, X21, X26, X28, X29","X1, X2, X3, X5, X6, X8, X13, X17, X19, X21, X25, X26, X27, X28, X29"
0.75-15-1-32,"X1, X2, X3, X5, X7, X8, X10, X11, X12, X13, X14, X15, X16, X18, X19, X22, X23, X24, X25, X26, X28, X30","X1, X2, X5, X7, X8, X11, X14, X15, X18, X19, X22, X23, X25, X26, X28","X4, X6, X9, X17, X20, X21, X27, X29","X3, X4, X6, X9, X10, X12, X13, X16, X17, X20, X21, X24, X27, X29, X30"
0.75-15-1-33,"X1, X2, X4, X5, X7, X9, X10, X11, X13, X14, X15, X16, X17, X19, X20, X21, X24, X25, X28, X29, X30","X2, X4, X7, X11, X13, X14, X15, X16, X19, X20, X21, X24, X25, X28, X29","X3, X6, X8, X12, X18, X22, X23, X26, X27","X1, X3, X5, X6, X8, X9, X10, X12, X17, X18, X22, X23, X26, X27, X30"
0.75-15-1-34,"X3, X4, X6, X7, X9, X11, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X30","X3, X4, X6, X7, X9, X11, X16, X17, X18, X20, X22, X23, X24, X26, X28","X1, X2, X5, X8, X10, X12, X13, X14, X15, X29","X1, X2, X5, X8, X10, X12, X13, X14, X15, X19, X21, X25, X27, X29, X30"
0.75-15-1-35,"X1, X2, X3, X4, X5, X6, X8, X13, X14, X15, X16, X17, X18, X19, X21, X22, X23, X24, X25, X26, X29, X30","X1, X3, X4, X5, X6, X13, X15, X17, X18, X21, X22, X23, X25, X26, X29","X7, X9, X10, X11, X12, X20, X27, X28","X2, X7, X8, X9, X10, X11, X12, X14, X16, X19, X20, X24, X27, X28, X30"
0.75-15-1-36,"X3, X4, X6, X7, X8, X10, X12, X13, X15, X16, X17, X19, X22, X23, X26, X27, X28, X29, X30","X4, X6, X7, X8, X10, X12, X13, X15, X16, X19, X22, X23, X27, X29, X30","X1, X2, X5, X9, X11, X14, X18, X20, X21, X24, X25","X1, X2, X3, X5, X9, X11, X14, X17, X18, X20, X21, X24, X25, X26, X28"
0.75-15-1-37,"X1, X3, X4, X6, X9, X10, X11, X13, X14, X15, X16, X20, X21, X22, X23, X24, X25, X26, X27, X28, X30","X1, X4, X9, X10, X14, X15, X16, X20, X22, X23, X24, X25, X26, X27, X28","X2, X5, X7, X8, X12, X17, X18, X19, X29","X2, X3, X5, X6, X7, X8, X11, X12, X13, X17, X18, X19, X21, X29, X30"
0.75-15-1-38,"X1, X4, X6, X8, X9, X10, X13, X14, X15, X19, X20, X21, X22, X24, X25, X26, X28, X29, X30","X1, X4, X6, X8, X9, X10, X13, X14, X15, X19, X20, X22, X24, X28, X29","X2, X3, X5, X7, X11, X12, X16, X17, X18, X23, X27","X2, X3, X5, X7, X11, X12, X16, X17, X18, X21, X23, X25, X26, X27, X30"
0.75-15-1-39,"X2, X3, X7, X8, X9, X10, X14, X15, X17, X18, X20, X21, X22, X24, X25, X26, X27, X28, X29, X30","X2, X7, X9, X14, X15, X17, X18, X20, X22, X24, X25, X26, X27, X28, X29","X1, X4, X5, X6, X11, X12, X13, X16, X19, X23","X1, X3, X4, X5, X6, X8, X10, X11, X12, X13, X16, X19, X21, X23, X30"
0.75-15-1-40,"X1, X2, X3, X5, X6, X7, X9, X10, X12, X15, X16, X17, X18, X19, X20, X22, X23, X24, X25, X28, X30","X1, X2, X6, X7, X9, X10, X12, X15, X16, X17, X19, X20, X22, X24, X28","X4, X8, X11, X13, X14, X21, X26, X27, X29","X3, X4, X5, X8, X11, X13, X14, X18, X21, X23, X25, X26, X27, X29, X30"
0.75-15-1-41,"X1, X3, X4, X5, X7, X8, X9, X10, X11, X12, X13, X15, X16, X17, X19, X20, X21, X23, X26, X29, X30","X1, X4, X5, X7, X8, X10, X11, X12, X16, X17, X19, X20, X21, X23, X26","X2, X6, X14, X18, X22, X24, X25, X27, X28","X2, X3, X6, X9, X13, X14, X15, X18, X22, X24, X25, X27, X28, X29, X30"
0.75-15-1-42,"X1, X2, X3, X5, X6, X8, X9, X10, X12, X14, X16, X18, X19, X21, X22, X23, X25, X27, X28, X29, X30","X1, X3, X6, X10, X12, X14, X16, X18, X19, X21, X23, X25, X27, X28, X30","X4, X7, X11, X13, X15, X17, X20, X24, X26","X2, X4, X5, X7, X8, X9, X11, X13, X15, X17, X20, X22, X24, X26, X29"
0.75-15-1-43,"X1, X2, X3, X6, X7, X10, X11, X13, X14, X15, X16, X17, X19, X20, X21, X22, X23, X24, X25, X27, X30","X1, X2, X6, X7, X13, X15, X16, X17, X19, X20, X21, X22, X24, X25, X27","X4, X5, X8, X9, X12, X18, X26, X28, X29","X3, X4, X5, X8, X9, X10, X11, X12, X14, X18, X23, X26, X28, X29, X30"
0.75-15-1-44,"X2, X3, X4, X5, X6, X8, X10, X11, X13, X15, X18, X19, X20, X21, X22, X23, X24, X25, X26, X27, X28, X29, X30","X3, X4, X6, X8, X10, X13, X18, X19, X21, X23, X26, X27, X28, X29, X30","X1, X7, X9, X12, X14, X16, X17","X1, X2, X5, X7, X9, X11, X12, X14, X15, X16, X17, X20, X22, X24, X25"
0.75-15-1-45,"X1, X2, X3, X4, X5, X6, X7, X8, X11, X12, X14, X15, X18, X19, X20, X21, X28, X29, X30","X1, X2, X3, X5, X6, X7, X11, X12, X15, X18, X19, X20, X21, X28, X30","X9, X10, X13, X16, X17, X22, X23, X24, X25, X26, X27","X4, X8, X9, X10, X13, X14, X16, X17, X22, X23, X24, X25, X26, X27, X29"
0.75-15-1-46,"X1, X4, X5, X6, X7, X8, X10, X13, X16, X17, X18, X19, X21, X22, X23, X24, X25, X28, X30","X4, X6, X8, X10, X13, X16, X17, X18, X19, X21, X22, X23, X24, X28, X30","X2, X3, X9, X11, X12, X14, X15, X20, X26, X27, X29","X1, X2, X3, X5, X7, X9, X11, X12, X14, X15, X20, X25, X26, X27, X29"
0.75-15-1-47,"X2, X3, X4, X5, X6, X7, X8, X9, X10, X11, X12, X13, X15, X16, X17, X18, X19, X20, X21, X26, X27, X30","X2, X3, X5, X6, X8, X9, X10, X11, X12, X16, X17, X18, X19, X21, X26","X1, X14, X22, X23, X24, X25, X28, X29","X1, X4, X7, X13, X14, X15, X20, X22, X23, X24, X25, X27, X28, X29, X30"
0.75-15-1-48,"X2, X3, X4, X7, X8, X9, X10, X12, X15, X16, X17, X19, X21, X23, X24, X25, X26, X27, X28, X30","X2, X3, X8, X9, X10, X12, X15, X16, X17, X19, X21, X24, X25, X28, X30","X1, X5, X6, X11, X13, X14, X18, X20, X22, X29","X1, X4, X5, X6, X7, X11, X13, X14, X18, X20, X22, X23, X26, X27, X29"
0.75-15-1-49,"X1, X2, X3, X4, X5, X6, X7, X8, X9, X10, X12, X14, X16, X18, X19, X20, X21, X22, X23, X25, X26, X27, X29, X30","X1, X6, X7, X8, X9, X10, X14, X16, X19, X20, X22, X23, X26, X27, X29","X11, X13, X15, X17, X24, X28","X2, X3, X4, X5, X11, X12, X13, X15, X17, X18, X21, X24, X25, X28, X30"
0.75-15-1-50,"X4, X5, X6, X7, X8, X12, X13, X14, X15, X16, X17, X18, X19, X20, X21, X23, X24, X26, X28, X30","X5, X6, X7, X12, X13, X14, X15, X16, X17, X18, X20, X23, X24, X26, X28","X1, X2, X3, X9, X10, X11, X22, X25, X27, X29","X1, X2, X3, X4, X8, X9, X10, X11, X19, X21, X22, X25, X27, X29, X30"
0.75-15-1-51,"X3, X4, X5, X6, X7, X8, X11, X12, X14, X15, X16, X18, X21, X24, X25, X28, X29, X30","X3, X4, X5, X6, X7, X8, X11, X12, X14, X15, X16, X21, X24, X25, X29","X1, X2, X9, X10, X13, X17, X19, X20, X22, X23, X26, X27","X1, X2, X9, X10, X13, X17, X18, X19, X20, X22, X23, X26, X27, X28, X30"
0.75-15-1-52,"X2, X3, X4, X5, X6, X7, X10, X11, X12, X13, X14, X17, X18, X19, X21, X23, X24, X27, X28, X29, X30","X2, X4, X5, X6, X10, X11, X12, X13, X14, X17, X18, X27, X28, X29, X30","X1, X8, X9, X15, X16, X20, X22, X25, X26","X1, X3, X7, X8, X9, X15, X16, X19, X20, X21, X22, X23, X24, X25, X26"
0.75-15-1-53,"X1, X2, X3, X6, X7, X8, X9, X13, X14, X15, X16, X17, X19, X20, X21, X23, X24, X25, X26, X27, X30","X1, X2, X3, X6, X7, X9, X13, X16, X17, X19, X20, X23, X24, X25, X27","X4, X5, X10, X11, X12, X18, X22, X28, X29","X4, X5, X8, X10, X11, X12, X14, X15, X18, X21, X22, X26, X28, X29, X30"
0.75-15-1-54,"X1, X2, X3, X4, X5, X6, X7, X8, X14, X15, X16, X21, X22, X24, X26, X27, X28, X30","X1, X2, X4, X5, X6, X7, X8, X14, X15, X16, X21, X24, X26, X27, X28","X9, X10, X11, X12, X13, X17, X18, X19, X20, X23, X25, X29","X3, X9, X10, X11, X12, X13, X17, X18, X19, X20, X22, X23, X25, X29, X30"
0.75-15-1-55,"X1, X2, X3, X6, X7, X8, X12, X13, X17, X18, X19, X20, X21, X22, X24, X25, X26, X28, X29, X30","X1, X2, X3, X7, X8, X12, X13, X19, X21, X22, X24, X25, X26, X28, X29","X4, X5, X9, X10, X11, X14, X15, X16, X23, X27","X4, X5, X6, X9, X10, X11, X14, X15, X16, X17, X18, X20, X23, X27, X30"
0.75-15-1-56,"X1, X6, X8, X9, X10, X11, X12, X13, X14, X17, X18, X20, X21, X23, X24, X25, X26, X27, X28, X30","X1, X6, X8, X10, X11, X13, X17, X18, X20, X21, X23, X25, X26, X27, X28","X2, X3, X4, X5, X7, X15, X16, X19, X22, X29","X2, X3, X4, X5, X7, X9, X12, X14, X15, X16, X19, X22, X24, X29, X30"
0.75-15-1-57,"X1, X2, X3, X4, X6, X7, X8, X11, X13, X14, X17, X18, X19, X20, X21, X22, X24, X25, X26, X27, X30","X1, X3, X4, X6, X8, X11, X13, X18, X20, X21, X22, X25, X26, X27, X30","X5, X9, X10, X12, X15, X16, X23, X28, X29","X2, X5, X7, X9, X10, X12, X14, X15, X16, X17, X19, X23, X24, X28, X29"
0.75-15-1-58,"X3, X4, X6, X9, X10, X11, X12, X13, X14, X15, X16, X17, X18, X19, X20, X23, X24, X26, X27, X28, X29, X30","X4, X10, X11, X12, X14, X15, X16, X18, X19, X20, X23, X26, X28, X29, X30","X1, X2, X5, X7, X8, X21, X22, X25","X1, X2, X3, X5, X6, X7, X8, X9, X13, X17, X21, X22, X24, X25, X27"
0.75-15-1-59,"X1, X2, X3, X6, X7, X10, X12, X13, X14, X15, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X28, X29, X30","X1, X2, X6, X7, X10, X12, X15, X17, X18, X20, X21, X22, X24, X25, X28","X4, X5, X8, X9, X11, X16, X27","X3, X4, X5, X8, X9, X11, X13, X14, X16, X19, X23, X26, X27, X29, X30"
0.75-15-1-60,"X2, X3, X4, X5, X6, X8, X11, X12, X13, X16, X18, X20, X24, X25, X26, X27, X28, X29, X30","X2, X3, X4, X5, X8, X11, X12, X13, X16, X20, X24, X26, X27, X28, X29","X1, X7, X9, X10, X14, X15, X17, X19, X21, X22, X23","X1, X6, X7, X9, X10, X14, X15, X17, X18, X19, X21, X22, X23, X25, X30"
0.75-15-1-61,"X3, X4, X5, X6, X8, X9, X10, X11, X12, X13, X14, X15, X16, X17, X21, X23, X24, X25, X26, X27, X28, X29, X30","X4, X5, X6, X8, X11, X12, X13, X14, X15, X17, X24, X25, X26, X28, X29","X1, X2, X7, X18, X19, X20, X22","X1, X2, X3, X7, X9, X10, X16, X18, X19, X20, X21, X22, X23, X27, X30"
0.75-15-1-62,"X5, X6, X7, X8, X10, X11, X12, X14, X15, X17, X18, X19, X20, X21, X22, X25, X26, X30","X5, X6, X7, X10, X12, X14, X15, X17, X19, X20, X21, X22, X25, X26, X30","X1, X2, X3, X4, X9, X13, X16, X23, X24, X27, X28, X29","X1, X2, X3, X4, X8, X9, X11, X13, X16, X18, X23, X24, X27, X28, X29"
0.75-15-1-63,"X1, X2, X3, X5, X6, X10, X11, X12, X13, X14, X15, X16, X17, X18, X23, X26, X27, X28, X29, X30","X1, X3, X5, X6, X10, X12, X13, X14, X16, X17, X18, X26, X28, X29, X30","X4, X7, X8, X9, X19, X20, X21, X22, X24, X25","X2, X4, X7, X8, X9, X11, X15, X19, X20, X21, X22, X23, X24, X25, X27"
0.75-15-1-64,"X1, X2, X3, X4, X8, X9, X10, X12, X13, X15, X18, X20, X21, X22, X23, X24, X26, X27, X28, X30","X2, X4, X8, X9, X10, X12, X13, X18, X20, X21, X22, X24, X26, X27, X28","X5, X6, X7, X11, X14, X16, X17, X19, X25, X29","X1, X3, X5, X6, X7, X11, X14, X15, X16, X17, X19, X23, X25, X29, X30"
0.75-15-1-65,"X1, X4, X5, X6, X7, X9, X11, X12, X13, X14, X15, X16, X19, X20, X21, X22, X23, X25, X26, X27, X28, X29, X30","X1, X4, X6, X9, X13, X14, X15, X16, X19, X21, X22, X26, X27, X28, X29","X2, X3, X8, X10, X17, X18, X24","X2, X3, X5, X7, X8, X10, X11, X12, X17, X18, X20, X23, X24, X25, X30"
0.75-15-1-66,"X3, X4, X6, X7, X9, X11, X12, X13, X14, X15, X16, X18, X21, X22, X23, X24, X25, X28, X29, X30","X3, X4, X6, X7, X11, X12, X13, X14, X15, X16, X18, X21, X23, X24, X29","X1, X2, X5, X8, X10, X17, X19, X20, X26, X27","X1, X2, X5, X8, X9, X10, X17, X19, X20, X22, X25, X26, X27, X28, X30"
0.75-15-1-67,"X1, X2, X5, X7, X10, X11, X12, X14, X16, X19, X20, X22, X23, X24, X25, X26, X27, X28, X29, X30","X1, X2, X5, X7, X10, X12, X16, X19, X22, X24, X25, X26, X27, X28, X29","X3, X4, X6, X8, X9, X13, X15, X17, X18, X21","X3, X4, X6, X8, X9, X11, X13, X14, X15, X17, X18, X20, X21, X23, X30"
0.75-15-1-68,"X2, X4, X6, X9, X10, X11, X12, X14, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X25, X26, X28, X29, X30","X2, X6, X10, X11, X12, X14, X16, X18, X19, X20, X24, X25, X26, X28, X30","X1, X3, X5, X7, X8, X13, X27","X1, X3, X4, X5, X7, X8, X9, X13, X15, X17, X21, X22, X23, X27, X29"
0.75-15-1-69,"X1, X3, X4, X6, X7, X8, X9, X11, X12, X14, X15, X16, X17, X18, X19, X20, X21, X22, X23, X24, X27, X28, X29, X30","X1, X3, X4, X8, X9, X11, X12, X14, X15, X18, X19, X21, X27, X28, X29","X2, X5, X10, X13, X25, X26","X2, X5, X6, X7, X10, X13, X16, X17, X20, X22, X23, X24, X25, X26, X30"
0.75-15-1-70,"X1, X2, X3, X5, X6, X7, X8, X9, X10, X11, X13, X14, X15, X17, X18, X19, X20, X21, X23, X24, X25, X26, X29, X30","X2, X6, X7, X8, X9, X13, X15, X17, X18, X19, X20, X24, X25, X26, X29","X4, X12, X16, X22, X27, X28","X1, X3, X4, X5, X10, X11, X12, X14, X16, X21, X22, X23, X27, X28, X30"
0.75-15-1-71,"X1, X2, X4, X5, X7, X11, X12, X13, X14, X15, X16, X17, X18, X20, X21, X22, X23, X24, X25, X26, X27, X29, X30","X2, X5, X7, X11, X12, X14, X16, X18, X20, X23, X24, X25, X26, X27, X30","X3, X6, X8, X9, X10, X19, X28","X1, X3, X4, X6, X8, X9, X10, X13, X15, X17, X19, X21, X22, X28, X29"
0.75-15-1-72,"X1, X2, X3, X4, X6, X7, X8, X9, X10, X11, X12, X14, X15, X19, X22, X23, X24, X25, X26, X27, X28, X29, X30","X2, X4, X6, X7, X8, X9, X10, X11, X12, X14, X19, X23, X24, X28, X29","X5, X13, X16, X17, X18, X20, X21","X1, X3, X5, X13, X15, X16, X17, X18, X20, X21, X22, X25, X26, X27, X30"
